location,offense,model_name,model_type,params,mape,mae,rmse,training_months,optimization_method
TX,homicide,"Prophet(yearly, cp=0.1, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",6.42,9.16,13.43,52,grid search (32 combinations)
TX,burglary,"ARIMA(1, 1, 0)",ARIMA,"{'order': (1, 1, 0)}",4.68,367.68,498.91,52,auto_arima (stepwise AIC)
TX,burglary,"SARIMA(1, 1, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 0, 12)}",3.35,261.91,350.69,52,auto_arima (stepwise AIC)
TX,burglary,"Prophet(no-season, cp=0.001, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.001, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",3.55,278.7,411.48,52,grid search (32 combinations)
TX,motor-vehicle-theft,"ARIMA(1, 1, 0)",ARIMA,"{'order': (1, 1, 0)}",7.39,590.72,772.69,52,auto_arima (stepwise AIC)
TX,motor-vehicle-theft,"SARIMA(0, 1, 0)(0, 1, 1, 12)",SARIMA,"{'order': (0, 1, 0), 'seasonal_order': (0, 1, 1, 12)}",19.27,1581.37,1749.96,52,auto_arima (stepwise AIC)
TX,motor-vehicle-theft,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",11.08,908.71,992.04,52,grid search (32 combinations)
FL,violent-crime,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",34.14,1117.09,1129.82,52,auto_arima (stepwise AIC)
FL,violent-crime,"SARIMA(0, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",34.14,1117.09,1129.82,52,auto_arima (stepwise AIC)
FL,violent-crime,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",10.13,335.57,392.68,52,grid search (32 combinations)
